"Antigen","Infection.Data.Type","Age.Group","Max.Delay","Median","Lower","Upper"
"YncE","Probability","Standardized",100,20372.4434220336,15030.9720282834,26818.457577208
"Flic","Probability","Standardized",100,24656.8281554862,18804.3339968643,31705.4252694771
"Vi","Indicator","Standardized",150,36527.2931059477,30248.2484303799,43661.3002888615
"CdtB","Indicator","Standardized",150,24002.4689263555,18504.8889459658,30591.1217318546
"LPS02","Indicator","Standardized",150,38429.8493699422,31951.8550658898,45730.4206809972
"HlyE","Indicator","Standardized",150,47108.9983712545,39941.7413201711,55132.7736957171
"LPS09","Indicator","Standardized",150,49983.4916025667,42531.5321821506,58252.0084486245
"YncE","Indicator","Standardized",150,32686.4831617261,26733.1109780566,39482.2218625175
"Flic","Indicator","Standardized",150,35451.468929144,29414.8132674264,42449.7432620772
"Vi","Probability","Standardized",150,25690.5044606321,20030.7398880693,32317.0976712744
"CdtB","Probability","Standardized",150,12302.7948053012,8178.99512773389,17750.7673270255
"LPS02","Probability","Standardized",150,21388.7835799143,16050.3803954759,27863.9982571199
"HlyE","Probability","Standardized",150,38852.0908523617,32082.2068665595,46552.9372088251
"LPS09","Probability","Standardized",150,36238.1416274357,29301.8659948206,44147.8244680639
"YncE","Probability","Standardized",150,19460.5523313425,14590.232537179,25412.2973219451
"Flic","Probability","Standardized",150,22817.2118807894,17486.6908819736,29110.0606779396
